Attraction_id,myAttraction_name,Combined_Attraction_Name,Attraction_name,User_Review_Score,Category,City,District,Number_of_Records,Place,State,Website,Formatted_Address,Lat,Lng,Pincode,Exc_frm_vislzn,Keywords
4158,Onkareshwar Temple,Onkareshwar Temple-DelhiHeritage,Onkareshwar Temple,NULL,Heritage,New Delhi,South District,1,New Delhi,Delhi,HolidayIQ,"Temple, Satbari, Hauz Khas, South District, New Delhi, Delhi",28.482935,77.199405,110074,No,#N/A
4160,Oorpazhassi Kavu Temple,Oorpazhassi Kavu Temple-KeralaHeritage,Oorpazhassi Kavu Temple,NULL,Heritage,Kannur,Kannur District,1,Kannur,Kerala,HolidayIQ,"Temple, Kannur, Kannur District, Kannur, Kerala",11.887823,75.386395,670006,No,"['temple', 'region', 'deity', 'citadel', 'shrine']"
4161,Open Jail Of Swatantrapur,Open Jail Of Swatantrapur-MaharashtraHeritage,Open Jail Of Swatantrapur,NULL,Heritage,NULL,Sangli District,1,Sangli,Maharashtra,HolidayIQ,"Toll Plaza, Miraj, Sangli District, Maharashtra",16.86839616,74.54599804,416416,No,"['jail', 'people', 'land', 'farming', 'reward', 'living', 'time', 'market', 'punishment', 'family', 'crop', 'attraction']"
4162,Oralakallu Teertha,Oralakallu Teertha-KarnatakaHeritage,Oralakallu Teertha,4.96,Heritage,Bengaluru,Bangalore District,1,Bangalore,Karnataka,HolidayIQ,"Blue Star, Sathyapramoda Teertha Road, Sankarapuram, Bangalore North, Bangalore District, Bengaluru, Karnataka",12.949995,77.570816,560004,No,"['water', 'temple', 'spring', 'spot', 'foot', 'pilgrimage', 'visit', 'outskirt', 'pilgrim', 'festival', 'tilak', 'forehead', 'weather', 'importance', 'arrow', 'sanctuary', 'drop', 'city', 'taxi', 'lot']"
4163,Orchard Palace,Orchard Palace-GujaratHeritage,Orchard Palace,NULL,Heritage,Gondal,Rajkot District,1,Gondal,Gujarat,HolidayIQ,"Darbargadh, Orchard Palace Road, Radha Krishna Nagar, Gondal, Rajkot District, Gondal, Gujarat",21.958088,70.795074,360311,No,"['family', 'guest', 'palace', 'annexe', 'hotel', 'heritage']"
4164,Orchha Fort Complex,Orchha Fort Complex-Madhya PradeshHeritage,Orchha Fort Complex,4.61,Heritage,Orchha,Tikamgarh District,1,Orchha,Madhya Pradesh,HolidayIQ,"Orchha Palace, Orchha, Tikamgarh District, Orchha, Madhya Pradesh",25.350504,78.642747,472246,No,#N/A
4165,Orissa State Museum,Orissa State Museum-OdishaHeritage,Orissa State Museum,4.64,Heritage,Bhubaneswar,Khordha District,1,Bhubaneswar,Odisha,HolidayIQ,"Odisha State Museum, BJB Nagar, Bhubaneswar M Corp, Khordha District, Bhubaneswar, Odisha",20.256155,85.841183,751014,No,"['museum', 'object', 'collection', 'sculpture', 'manuscript', 'palm', 'stone', 'leaf', 'tourist', 'copper', 'plate', 'history', 'size', 'bronze', 'coin', 'instrument', 'folk', 'painting', 'tool', 'decoration']"
4166,Oriya Baptish Church,Oriya Baptish Church-OdishaHeritage,Oriya Baptish Church,NULL,Heritage,Cuttack,Cuttack District,1,Cuttack,Odisha,HolidayIQ,"Church, Biju Patnaik Colony, Cuttack M Corp PS, Cuttack District, Cuttack, Odisha",20.475469,85.86538,753001,No,#N/A
4167,Om Shiv Mandir,Om Shiv Mandir-DelhiHeritage,Om Shiv Mandir,NULL,Heritage,New Delhi,West District,1,New Delhi,Delhi,HolidayIQ,"Om Shiv Mandir, Hemwati Nandan Bahuguna Marg, Block E, Karampura, Patel Nagar, West District, New Delhi, Delhi",28.666231,77.143974,110015,No,#N/A
4168,Orthodox Church,Orthodox Church-GujaratHeritage,Orthodox Church,NULL,Heritage,Gandhidham,Kachchh District,1,Gandhidham,Gujarat,HolidayIQ,"Orthodox Church, Sector 3, Gandhidham, Kachchh District, Gandhidham, Gujarat",23.058083,70.125283,370201,No,#N/A
4169,Osho Ashram,Osho Ashram-MaharashtraHeritage,Osho Ashram,3.96,Heritage,Pune,Pune District,1,Pune,Maharashtra,HolidayIQ,"Osho Ashram, Arunkumar Vaidhya Path, Vasani Nagar, Koregaon Park, Pune City, Pune District, Pune, Maharashtra",18.536445,73.887786,411001,No,"['meditation', 'ashram', 'robe', 'garden', 'rock', 'pathway', 'mediation', 'swimming', 'resort', 'area', 'complex', 'uplift', 'activity', 'campus', 'training', 'stress', 'day', 'program', 'time', 'maroon']"
4170,Otha Swamilgam Temple,Otha Swamilgam Temple-Tamil NaduHeritage,Otha Swamilgam Temple,NULL,Heritage,Dindigul,Dindigul District,1,Dindigul,Tamil Nadu,HolidayIQ,"Otha Swamilgam Temple, Muthalagupatty, Dindigul, Dindigul District, Dindigul, Tamil Nadu",10.362948,77.962809,624001,No,#N/A
4171,Ottapidaram,Ottapidaram-Tamil NaduHeritage,Ottapidaram,NULL,Heritage,Thoothukkudi,Thoothukkudi District,1,Tuticorin,Tamil Nadu,HolidayIQ,"Salt Pan, Sea Salt Harvesting, Ottapidaram, Thoothukkudi District, Thoothukkudi, Tamil Nadu",8.853429,78.142211,628002,No,"['freedom', 'fighter', 'house', 'memorial', 'birth']"
4172,Our Lady Of Angel's Church,Our Lady Of Angel's Church-PondicherryHeritage,Our Lady Of Angel's Church,NULL,Heritage,NULL,Karaikal District,1,Karaikal,Pondicherry,HolidayIQ,"Church, NH 32, Karaikal Taluk, Karaikal District, Puducherry",10.958544,79.825061,609609,No,"['church', 'bell', 'festival', 'flag', 'altar', 'radius', 'town', 'year', 'hoisting', 'ceremony', 'tower', 'beauty', 'statue', 'procession', 'km', 'clock', 'window', 'ringing', 'glass', 'foot']"
4173,Our Lady Of Dolours Basilica,Our Lady Of Dolours Basilica-KeralaHeritage,Our Lady Of Dolours Basilica,4.76,Heritage,Thrissur,Thrissur District,1,Thrissur (Trichur),Kerala,HolidayIQ,"Lady Victory Convent School, 1st Avenue, Thrissur, Thrissur District, Thrissur, Kerala",10.485059,76.22526,680306,No,#N/A
4174,Our Lady Of Fathima Church,Our Lady Of Fathima Church-KarnatakaHeritage,Our Lady Of Fathima Church,NULL,Heritage,Bengaluru,Bangalore District,1,Bangalore,Karnataka,HolidayIQ,"Our Lady of Fathima Church, Jalahalli Road, Jalahalli East, Bangalore North, Bangalore District, Bengaluru, Karnataka",13.055318,77.541383,560014,No,#N/A
4175,Our Lady Of Fatima Cathedral,Our Lady Of Fatima Cathedral-RajasthanHeritage,Our Lady Of Fatima Cathedral,4.53,Heritage,Udaipur,Udaipur District,1,Udaipur,Rajasthan,HolidayIQ,"Our Lady of Fatima Cathedral, Bhopalpura, Girwa, Udaipur District, Udaipur, Rajasthan",24.597003,73.69865,313001,No,#N/A
4176,Our Lady Of Lourdes Church,Our Lady Of Lourdes Church-KarnatakaHeritage,Our Lady Of Lourdes Church,NULL,Heritage,Bengaluru,Bangalore District,1,Bangalore,Karnataka,HolidayIQ,"Our Lady of Lourdes Church, Basavanapura, KR Puram, Bangalore East, Bangalore District, Bengaluru, Karnataka",13.012608,77.715597,560049,No,#N/A
4177,Our Lady Of Lourds Church.,Our Lady Of Lourds Church.-KeralaHeritage,Our Lady Of Lourds Church.,4.05,Heritage,Thrissur,Thrissur District,1,Thrissur (Trichur),Kerala,HolidayIQ,"Church, Thrissur, Thrissur District, Thrissur, Kerala",10.470657,76.237011,680306,No,#N/A
4178,Our Lady Of Mount Carmel Curch,Our Lady Of Mount Carmel Curch-GoaHeritage,Our Lady Of Mount Carmel Curch,NULL,Heritage,Panaji,North Goa District,1,Panjim,Goa,HolidayIQ,"Our Lady Convent of Rosary Church, Dona Paula, Tiswadi, North Goa District, Panaji, Goa",15.460898,73.806854,403004,No,#N/A
4179,Our Lady Of Perpetual Help Church,Our Lady Of Perpetual Help Church-KarnatakaHeritage,Our Lady Of Perpetual Help Church,NULL,Heritage,Bengaluru,Bangalore District,1,Bangalore,Karnataka,HolidayIQ,"Our Lady of Perpetual Help, 3rd Main Road, Block G, Lingarajapura, Bangalore North, Bangalore District, Bengaluru, Karnataka",13.010233,77.627917,560084,No,#N/A
4180,Our Lady Of Snows Basilica,Our Lady Of Snows Basilica-Tamil NaduHeritage,Our Lady Of Snows Basilica,4.82,Heritage,Thoothukkudi,Thoothukkudi District,1,Tuticorin,Tamil Nadu,HolidayIQ,"Our Lady of Snows Basilica, South Beach Road, Matha Koil, Thoothukkudi, Thoothukkudi District, Thoothukkudi, Tamil Nadu",8.799524,78.156609,628001,No,#N/A
4181,Our Lady Of Sorrows Church,Our Lady Of Sorrows Church-Tamil NaduHeritage,Our Lady Of Sorrows Church,NULL,Heritage,NULL,Thanjavur District,1,Thanjavur,Tamil Nadu,HolidayIQ,"Church of Our Lady, Thanjavur, Thanjavur District, Tamil Nadu",10.762801,78.938677,613402,No,"['church', 'period', 'attraction', 'harmony', 'town', 'year', 'car', 'poet', 'religion', 'temple', 'caste', 'symbol', 'priest', 'pomp', 'week', 'festival', 'gaiety']"
4182,Pachiamman Temple,Pachiamman Temple-Tamil NaduHeritage,Pachiamman Temple,NULL,Heritage,Tiruvannamalai,Tiruvannamalai District,1,Thiruvannamalai,Tamil Nadu,HolidayIQ,"Pachiamman Temple, Vengikkal, Tiruvannamalai, Tiruvannamalai District, Tiruvannamalai, Tamil Nadu",12.247929,79.067174,606604,No,#N/A
4183,Padampura  Jain  Temple,Padampura  Jain  Temple-RajasthanHeritage,Padampura  Jain  Temple,NULL,Heritage,Jaipur,Jaipur District,1,Jaipur,Rajasthan,HolidayIQ,"Bala Ji Temple, Shivdaspura, Chaksu, Jaipur District, Jaipur, Rajasthan",26.71477,75.885538,303903,No,#N/A
4184,Padardevi Mata Temple,Padardevi Mata Temple-GujaratHeritage,Padardevi Mata Temple,NULL,Heritage,Valsad,Valsad District,1,Valsad,Gujarat,HolidayIQ,"Padardevi Mata Temple, Mugrawali Road, Desaifaliya Near Shanti Nagar, Mograwadi, Valsad, Valsad District, Valsad, Gujarat",20.612276,72.937385,396001,No,#N/A
4185,Padka Mahal,Padka Mahal-GujaratHeritage,Padka Mahal,NULL,Heritage,Ahmedabad,Ahmadabad District,1,Ahmedabad,Gujarat,HolidayIQ,"Jay Mahal Flats, Bharat Kunj Society, Navrangpura, Ahmadabad City, Ahmadabad District, Ahmedabad, Gujarat",23.029896,72.566396,380009,No,#N/A
4186,Padmakshi Temple,Padmakshi Temple-TelanganaHeritage,Padmakshi Temple,4.93,Heritage,Warangal,Warangal Urban District,1,Warangal,Telangana,HolidayIQ,"Temple, Kapuwada Bhadrakali Temple Road, Tadkamalla Village, Warangal, Warangal Urban District, Warangal, Telangana",17.993704,79.58682,506007,No,"['temple', 'number', 'carving', 'sculpture', 'devotee', 'prescence', 'entrance', 'inscription', 'granite', 'pillar', 'quarter', 'century', 'year', 'celebration']"
4187,Padmanabhapuram Palace,Padmanabhapuram Palace-Tamil NaduHeritage,Padmanabhapuram Palace,4.15,Heritage,Kanniyakumari,Kanniyakumari District,1,Kanyakumari,Tamil Nadu,HolidayIQ,"Hotel Raja Palace, Peace Trust Road, Agastheeswaram, Kanniyakumari District, Kanniyakumari, Tamil Nadu",8.08439,77.54846,629702,No,"['palace', 'wall', 'foot', 'coconut', 'km', 'shell', 'carving', 'floor', 'malika', 'city', 'latticework', 'egg', 'consort', 'granite', 'structure', 'today', 'lime', 'design', 'soldier', 'chamber']"
4188,Padmavati Mata Ni Deri,Padmavati Mata Ni Deri-GujaratHeritage,Padmavati Mata Ni Deri,NULL,Heritage,Palitana,Bhavnagar District,1,Palitana,Gujarat,HolidayIQ,"Padmavati Selection, Navagadh, Palitana, Bhavnagar District, Palitana, Gujarat",21.521162,71.821881,364270,No,#N/A
4189,Padmavati Temple,Padmavati Temple-MaharashtraHeritage,Padmavati Temple,NULL,Heritage,Pune,Pune District,1,Pune,Maharashtra,HolidayIQ,"Padmavati Temple, Kambale Path, Govardhan Society, Padmavati, Pune City, Pune District, Pune, Maharashtra",18.476811,73.85474,411009,No,#N/A
4190,Padmini's Palace,Padmini's Palace-RajasthanHeritage,Padmini's Palace,3.69,Heritage,Chittaurgarh,Chittaurgarh District,1,Chittorgarh,Rajasthan,HolidayIQ,"Kumbha Palace, Chittaurgarh Fort Village, Chittaurgarh, Chittaurgarh District, Chittaurgarh, Rajasthan",24.906781,74.687838,312001,No,"['visit', 'palace', 'architecture', 'metre', 'area', 'history', 'time', 'must', 'century', 'treat', 'lotus', 'remnant', 'artistry', 'structure', 'hill', 'student', 'month', 'remains', 'road', 'ruler']"
4191,Paga Masjid,Paga Masjid-GujaratHeritage,Paga Masjid,NULL,Heritage,Ahmedabad,Ahmadabad District,1,Ahmedabad,Gujarat,HolidayIQ,"Paga Masjid, Jamalpur Road, Khamasa, Ahmadabad City, Ahmadabad District, Ahmedabad, Gujarat",23.01554,72.58315,380001,No,#N/A
4192,Pagla Baba Ashram,Pagla Baba Ashram-JharkhandHeritage,Pagla Baba Ashram,NULL,Heritage,NULL,Dhanbad District,1,Dhanbad,Jharkhand,HolidayIQ,"Bera Yoga Ashram, Dhanbad Cum Kenduadih Cum Jagata, Dhanbad District, Jharkhand",23.764967,86.433143,826001,No,#N/A
4193,Pahari Mandir,Pahari Mandir-JharkhandHeritage,Pahari Mandir,4.33,Heritage,Ranchi,Ranchi District,1,Ranchi,Jharkhand,HolidayIQ,"Pahari Mandir, Sati Mandir Road, Kumhartoli, Kanke, Ranchi District, Ranchi, Jharkhand",23.349376,85.335471,834001,No,"['temple', 'hill', 'devotee', 'freedom', 'time', 'fighter', 'level', 'ft', 'flag', 'site', 'tree', 'bird', 'deity', 'view', 'top', 'surroundings', 'sacrifice', 'step', 'altitude', 'way']"
4194,Pahari Wala Gurdwara,Pahari Wala Gurdwara-DelhiHeritage,Pahari Wala Gurdwara,NULL,Heritage,New Delhi,North West District,1,New Delhi,Delhi,HolidayIQ,"Gurdwara Sri Guru Singh Sabha, Kabir Das Marg, Rohit Kunj, Pitampura, Saraswati Vihar, North West District, New Delhi, Delhi",28.68961,77.141652,110034,No,#N/A
4195,Pahari Wali Masjid,Pahari Wali Masjid-DelhiHeritage,Pahari Wali Masjid,NULL,Heritage,New Delhi,South District,1,New Delhi,Delhi,HolidayIQ,"Pahari Wali Masjid, Anuvrat Marg, Ladha Sarai, Mehrauli, Hauz Khas, South District, New Delhi, Delhi",28.511901,77.179814,110030,No,#N/A
4196,Paida,Paida-Uttar PradeshHeritage,Paida,NULL,Heritage,NULL,Basti District,1,Basti,Uttar Pradesh,HolidayIQ,"Paida, Rudhauli, Basti District, Uttar Pradesh",27.002618,82.760744,272151,No,"['freedom', 'attraction', 'tourist', 'hamlet', 'park', 'township', 'struggle', 'site', 'fighter', 'kilometre', 'distance', 'monument']"
4197,Paigah Tombs,Paigah Tombs-TelanganaHeritage,Paigah Tombs,4.92,Heritage,Hyderabad,Hyderabad District,1,Hyderabad,Telangana,HolidayIQ,"Golkonda Fort Road, Qutub Shahi Tombs, Shaikpet, Hyderabad District, Hyderabad, Telangana",17.39748218,78.40048988,500008,No,"['tomb', 'complex', 'state', 'tablet', 'iron', 'noble', 'design', 'defence', 'patron', 'lineage', 'specimen', 'status', 'nobility', 'title', 'security', 'pattern', 'sport', 'foyer', 'literature', 'art']"
4198,Palace At Pihowa,Palace At Pihowa-HaryanaHeritage,Palace At Pihowa,NULL,Heritage,NULL,Kurukshetra District,1,Kurukshetra,Haryana,HolidayIQ,"Amans Food Palace, Shahbad, Kurukshetra District, Haryana",30.206163,76.857704,136135,No,#N/A
4199,Palace Of Maharaja Patiala,Palace Of Maharaja Patiala-Himachal PradeshHeritage,Palace Of Maharaja Patiala,4.53,Heritage,NULL,Shimla District,1,Shimla,Himachal Pradesh,HolidayIQ,"State Bank of India, Theog, Shimla District, Himachal Pradesh",31.088229,77.305043,171209,No,"['palace', 'forest', 'tourist', 'hotel', 'leisure', 'altitude', 'walk', 'beauty', 'inr10', 'range', 'hour', 'drive', 'distance', 'fee', 'estate', 'charm', 'acre', 'gallery', 'grandeur', 'laureate']"
