Attraction_id,myAttraction_name,Combined_Attraction_Name,Attraction_name,User_Review_Score,Category,City,District,Number_of_Records,Place,State,Website,Formatted_Address,Lat,Lng,Pincode,Exc_frm_vislzn,Keywords
1,Baga Beach,Baga Beach-GoaBeach,Baga Beach,4.43,Beach,Calangute,North Goa District,1,Calangute,Goa,HolidayIQ,"Baga Beach, Baga, Bardez, North Goa District, Calangute, Goa",15.560416,73.749651,403516,No,"['beach', 'skiing', 'water', 'tourist', 'jet', 'cruise', 'sport', 'sand', 'year', 'km', 'windsurfing', 'extension']"
2,Juhu Beach,Juhu Beach-MaharashtraBeach,Juhu Beach,4.19,Beach,Mumbai,Mumbai Suburban District,1,Mumbai,Maharashtra,HolidayIQ,"Juhu Beach, Juhu Tara Road, Theosophical Housing Colony, Juhu, Mumbai Suburban, Mumbai Suburban District, Mumbai, Maharashtra",19.096996,72.826174,400049,No,"['beach', 'tourist', 'suburb', 'glimpse', 'swimming', 'west', 'balloon', 'fee', 'air', 'day', 'option', 'side', 'ice', 'people', 'end', 'horizon', 'time', 'admission', 'plane', 'station']"
3,Calangute Beach,Calangute Beach-GoaBeach,Calangute Beach,4.37,Beach,Calangute,North Goa District,1,Calangute,Goa,HolidayIQ,"Calangute Beach, Arpora, Bardez, North Goa District, Calangute, Goa",15.544772,73.754826,403516,No,"['water', 'skiing', 'beach', 'bump', 'opportunity', 'activity', 'ride', 'sailing', 'km', 'surfing']"
4,Elephanta Island,Elephanta Island-MaharashtraBeach,Elephanta Island,4.23,Beach,Mumbai,Mumbai District,1,Mumbai,Maharashtra,HolidayIQ,"Elaphanta Ferry Start Point, Chhatrapati Shivaji Maharaj Marg, Colaba, Mumbai, Mumbai District, Mumbai, Maharashtra",18.923123,72.834317,400005,No,"['island', 'boat', 'cave', 'temple', 'pm', 'belief', 'practice', 'century', 'tourist', 'sculpture', 'cross', 'luxury', 'matter', 'history', 'site', 'fact', 'hall', 'hour', 'posture', 'visitor']"
5,Cherai Beach,Cherai Beach-KeralaBeach,Cherai Beach,4.38,Beach,Kochi,Ernakulam District,1,Kochi (Cochin),Kerala,HolidayIQ,"RC Road, Mundamveli, Kochi, Ernakulam District, Kochi, Kerala",10.139174,76.179225,682507,No,"['beach', 'activity', 'island', 'water', 'palm', 'shoreline', 'tree', 'land', 'coconut', 'end', 'sand', 'boat', 'variety', 'sport']"
6,Fort Kochi Beach,Fort Kochi Beach-KeralaBeach,Fort Kochi Beach,4.15,Beach,Kochi,Ernakulam District,1,Kochi (Cochin),Kerala,HolidayIQ,"Fort Kochi Beach, Fort Kochi, Kochi, Ernakulam District, Kochi, Kerala",9.967144,76.239843,682001,No,"['beach', 'city', 'settlement', 'village', 'sailing', 'sport', 'water', 'highlight', 'surfing', 'countryside', 'snorkelling', 'kayaking', 'reminiscent', 'fishing', 'week', 'era', 'suburb', 'bungalow', 'canoeing', 'net']"
8,New Digha,New Digha-West BengalBeach,New Digha,4.44,Beach,Nebadhai Duttapukur,North Twenty Four Parganas District,1,Digha,West Bengal,HolidayIQ,"Digha, Barasat I, North Twenty Four Parganas District, Nebadhai Duttapukur, West Bengal",22.756598,88.528543,743248,Yes,"['science', 'centre', 'park', 'tourist', 'hotspot', 'addition', 'part', 'beach', 'lake', 'accommodation', 'list', 'facility', 'opportunity', 'hotel', 'attraction', 'extension']"
9,Talasari,Talasari-MaharashtraBeach,Talasari,4.23,Beach,Talasari,Palghar District,1,Digha,Maharashtra,HolidayIQ,"Talasari Police Station, Talasari, Palghar District, Talasari, Maharashtra",20.118364,72.917883,401606,No,"['delta', 'km', 'water', 'beach', 'sea', 'border']"
11,Subarnarekha River,Subarnarekha River-West BengalBeach,Subarnarekha River,4.15,Beach,Nebadhai Duttapukur,North Twenty Four Parganas District,1,Digha,West Bengal,HolidayIQ,"Digha, Barasat I, North Twenty Four Parganas District, Nebadhai Duttapukur, West Bengal",22.756598,88.528543,743248,Yes,"['beach', 'sea', 'tourist', 'confluence', 'river', 'car', 'km', 'village', 'walk', 'point', 'border', 'meeting', 'highway']"
12,Ramakrishna Beach,Ramakrishna Beach-Andhra PradeshBeach,Ramakrishna Beach,4.63,Beach,Visakhapatnam,Visakhapatnam District,1,Visakhapatnam,Andhra Pradesh,HolidayIQ,"Ramakrishna Electricals, MIG, Sector 8, MVP Colony, Visakhapatnam Urban, Visakhapatnam District, Visakhapatnam, Andhra Pradesh",17.73708,83.33362,530017,No,"['beach', 'activity', 'water', 'surroundings', 'country', 'coast', 'boat', 'sunrise', 'angling', 'surfing', 'wind', 'coastline', 'sunset', 'seafront', 'sea', 'fishing', 'kind', 'part', 'view', 'traveller']"
13,Rishikonda Beach,Rishikonda Beach-Andhra PradeshBeach,Rishikonda Beach,4.57,Beach,NULL,Visakhapatnam District,1,Visakhapatnam,Andhra Pradesh,HolidayIQ,"Haritha Beach Shacks, Beach Road, Bheemunipatnam, Visakhapatnam District, Andhra Pradesh",17.754502,83.353156,531163,No,"['water', 'beach', 'lover', 'skiing', 'plant', 'foliage', 'wind', 'adventure', 'nature', 'sport', 'surfing', 'stretch', 'swimming', 'destination', 'sand', 'wave']"
14,Yarada Beach,Yarada Beach-Andhra PradeshBeach,Yarada Beach,4.56,Beach,Visakhapatnam,Visakhapatnam District,1,Visakhapatnam,Andhra Pradesh,HolidayIQ,"Yarada Beach, Gajuwaka, Visakhapatnam District, Visakhapatnam, Andhra Pradesh",17.66596102,83.27780757,530044,No,"['beach', 'side', 'tourist', 'hill', 'view', 'spot', 'vicinity', 'lover', 'sunset', 'coastline', 'nature', 'surroundings', 'sand', 'destination', 'sunrise']"
15,Bheemunipatnam Beach,Bheemunipatnam Beach-Andhra PradeshBeach,Bheemunipatnam Beach,4.14,Beach,Bheemunipatnam,Visakhapatnam District,1,Visakhapatnam,Andhra Pradesh,HolidayIQ,"Bheemunipatnam Beach, Bheemunipatnam, Visakhapatnam District, Bheemunipatnam, Andhra Pradesh",17.901086,83.410983,531163,No,#N/A
16,Kanyakumari Beach,Kanyakumari Beach-Tamil NaduBeach,Kanyakumari Beach,4.25,Beach,Kanniyakumari,Kanniyakumari District,1,Kanyakumari,Tamil Nadu,HolidayIQ,"Kanyakumari Beach, Agastheeswaram, Kanniyakumari District, Kanniyakumari, Tamil Nadu",8.077928,77.55033,629702,No,"['visitor', 'moon', 'sun', 'sea', 'spot', 'beach', 'sunset', 'house', 'day', 'shore', 'confluence', 'rise', 'sand', 'water', 'destination', 'tip', 'hue', 'softness', 'view']"
17,Sothavilai Beach,Sothavilai Beach-Tamil NaduBeach,Sothavilai Beach,4.57,Beach,Kanniyakumari,Kanniyakumari District,1,Kanyakumari,Tamil Nadu,HolidayIQ,"Public Convenience, Beach Road, Agastheeswaram, Kanniyakumari District, Kanniyakumari, Tamil Nadu",8.09559,77.55155,629702,No,"['beach', 'km', 'distance', 'sea', 'sandy', 'view', 'dune', 'swimming', 'state', 'tower', 'cottage', 'sand', 'water', 'destination', 'town']"
18,Mandarmani Beach,Mandarmani Beach-West BengalBeach,Mandarmani Beach,4.4,Beach,NULL,Purba Medinipur District,1,Mandarmani,West Bengal,HolidayIQ,"Mandarmani Sea Beach, Ramnagar 2, Purba Medinipur District, West Bengal",21.649459,87.650442,721455,No,"['beach', 'tourist', 'shore', 'sunset', 'sight', 'km', 'drive', 'hour', 'location', 'town', 'sunrise', 'attraction', 'highlight']"
20,Digha Beach,Digha Beach-West BengalBeach,Digha Beach,3.6,Beach,NULL,Purba Medinipur District,1,Mandarmani,West Bengal,HolidayIQ,"Mandarmani Sea Beach, Ramnagar 2, Purba Medinipur District, West Bengal",21.666247,87.710832,721455,No,"['beach', 'sea', 'gradient', 'length', 'proximity', 'sand', 'swimming', 'sunrise', 'resort', 'tourist', 'shore', 'rule', 'mile', 'km', 'mention', 'view', 'sunset', 'plantation']"
21,Jolly Buoy Island,Jolly Buoy Island-Andaman & Nicobar IslandsBeach,Jolly Buoy Island,4.62,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Hotel Island Paradise, Delanipur, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.431389,92.636111,744102,No,"['tourist', 'boat', 'destination', 'permit', 'island', 'surroundings', 'diving', 'rainforest', 'swamp', 'honeymoon', 'trip', 'fee', 'beach', 'landscape', 'activity', 'couples.,summer', 'mangrove', 'time', 'bottom', 'spotting']"
22,Ross Island,Ross Island-Andaman & Nicobar IslandsBeach,Ross Island,3.81,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"AAI Colony, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.676363,92.7403,744103,No,"['island', 'bakery', 'era', 'activity', 'museum', 'fee', 'bunker', 'house', 'day', 'tourist', 'commissioner', 'pool', 'swimming', 'collection', 'basis', 'region.,ferries', 'state', 'pm', 'soldier', 'remains']"
23,Little Andaman Island,Little Andaman Island-Andaman & Nicobar IslandsBeach,Little Andaman Island,4.34,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Hotel Island Paradise, Delanipur, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.658717,92.731297,744102,No,"['island', 'tourist', 'beach', 'ferry', 'house', 'boat', 'speed', 'public', 'snorkelling', 'walk', 'tree', 'day', 'resort', 'planning', 'palm', 'activity', 'autorickshaws', 'diving', 'attraction', 'number']"
24,North Bay Island Andaman,North Bay Island Andaman-Andaman & Nicobar IslandsBeach,North Bay Island Andaman,4.02,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Andaman Island Adventure, Biggie Line, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.751274,92.733488,744101,No,#N/A
25,Wandoor Beach,Wandoor Beach-Andaman & Nicobar IslandsBeach,Wandoor Beach,4.41,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Sea Shell Beach Resort, Marine Hill, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.554798,92.590498,744104,No,#N/A
26,Red Skin Island,Red Skin Island-Andaman & Nicobar IslandsBeach,Red Skin Island,4.53,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Hotel Island Paradise, Delanipur, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.395576,92.547992,744102,No,#N/A
27,Lime Stone Cave And Mud Volcano At Baratang,Lime Stone Cave And Mud Volcano At Baratang-Andaman & Nicobar IslandsBeach,Lime Stone Cave And Mud Volcano At Baratang,4.56,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Port Blair Tour Packages, Delanipur, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.672589,92.729462,744102,No,#N/A
28,Corbyn's Cove,Corbyn's Cove-Andaman & Nicobar IslandsBeach,Corbyn's Cove,4.15,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Port Blair Swimming Pool, Corbyns Cove Road, Rajiv Gandhi Nagar, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.644105,92.745726,744104,No,"['beach', 'tourist', 'boating', 'pill', 'swimming', 'corbyn', 'coconut', 'box', 'occupation', 'scuba', 'palm', 'bunker', 'part', 'spot', 'tsunami', 'sunset', 'diving']"
29,Long Island,Long Island-Andaman & Nicobar IslandsBeach,Long Island,4.5,Beach,Port Blair,South Andaman District,1,Port Blair,Andaman & Nicobar Islands,HolidayIQ,"Hotel Island Paradise, Delanipur, Port Blair, South Andaman District, Port Blair, Andaman & Nicobar Islands",11.672577,92.729435,744102,No,"['facility', 'beach', 'day', 'attraction', 'house', 'stretch', 'camping', 'snorkelling', 'trekking', 'island', 'permit', 'guest', 'accommodation', 'catamaran', 'government', 'spot', 'swimming', 'couple', 'surfing', 'boat']"
30,Vembanad Lake,Vembanad Lake-KeralaBeach,Vembanad Lake,4.41,Beach,Alappuzha,Alappuzha District,1,Alappuzha (Alleppey),Kerala,HolidayIQ,"Punnamada Lake, Ambalappuzha, Alappuzha District, Alappuzha, Kerala",9.503385,76.35445,688011,No,#N/A
31,Mararikulam Beach,Mararikulam Beach-KeralaBeach,Mararikulam Beach,4.37,Beach,Alappuzha,Alappuzha District,1,Alappuzha (Alleppey),Kerala,HolidayIQ,"Geeyo on the Beach, Kunnupuram, Ambalappuzha, Alappuzha District, Alappuzha, Kerala",9.594526,76.327482,688012,No,#N/A
32,Kayamkulam Lake,Kayamkulam Lake-KeralaBeach,Kayamkulam Lake,4.14,Beach,Alappuzha,Alappuzha District,1,Alappuzha (Alleppey),Kerala,HolidayIQ,"Punnamada Lake, Ambalappuzha, Alappuzha District, Alappuzha, Kerala",9.503385,76.35445,688011,No,#N/A
33,Alleppey Beach,Alleppey Beach-KeralaBeach,Alleppey Beach,4.56,Beach,Alappuzha,Alappuzha District,1,Alappuzha (Alleppey),Kerala,HolidayIQ,"Beach Road, Kommadi, Ambalappuzha, Alappuzha District, Alappuzha, Kerala",9.500172437,76.3206299,688013,No,"['beach', 'lighthouse', 'tourist', 'west', 'boat', 'ft', 'lagoon', 'trade', 'business', 'tea', 'rubber', 'height', 'network', 'lake', 'canal', 'government', 'freshwater', 'brick', 'addition', 'purpose']"
34,Pathiramannal,Pathiramannal-KeralaBeach,Pathiramannal,4.68,Beach,Alappuzha,Alappuzha District,1,Alappuzha (Alleppey),Kerala,HolidayIQ,"NIIT Alappuzha, Mullackal Road, Mullackal, Ambalappuzha, Alappuzha District, Alappuzha, Kerala",9.498815,76.3423,688011,No,"['bird', 'island', 'land', 'part', 'crow', 'boat', 'catcher', 'egret', 'drongos', 'morning', 'variety', 'home', 'night', 'area', 'ablution', 'bulbul', 'dove', 'shrike', 'heron', 'pheasant']"
35,Alappuzha Lighthouse,Alappuzha Lighthouse-KeralaBeach,Alappuzha Lighthouse,4.3,Beach,Alappuzha,Alappuzha District,1,Alappuzha (Alleppey),Kerala,HolidayIQ,"NIIT Alappuzha, Mullackal Road, Mullackal, Ambalappuzha, Alappuzha District, Alappuzha, Kerala",9.495036,76.337483,688011,No,#N/A
36,The Lighthouse,The Lighthouse-KeralaBeach,The Lighthouse,4.46,Beach,Kovalam,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Lighthouse, Neyyattinkara, Thiruvananthapuram District, Kovalam, Kerala",8.382932,76.97967,695527,No,"['lighthouse', 'end', 'tourist', 'metre', 'hillock', 'stair', 'platform', 'view', 'observation', 'colour']"
37,Lighthouse Beach,Lighthouse Beach-KeralaBeach,Lighthouse Beach,4.44,Beach,Kovalam,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Lighthouse Beach, Neyyattinkara, Thiruvananthapuram District, Kovalam, Kerala",8.384488,76.979675,695527,No,"['beach', 'lighthouse', 'tourist', 'sport', 'water', 'poovar', 'stretch', 'sand', 'end', 'direction', 'observation', 'step', 'metre', 'swimming', 'platform', 'view', 'surfing', 'attraction']"
38,Samudra Beach,Samudra Beach-KeralaBeach,Samudra Beach,4.4,Beach,Kovalam,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Palm Beach, Neyyattinkara, Thiruvananthapuram District, Kovalam, Kerala",8.386789,76.977379,695527,No,"['beach', 'tourist', 'name', 'part', 'fishing', 'km', 'vessel', 'attraction']"
39,Hawa Beach,Hawa Beach-KeralaBeach,Hawa Beach,4.34,Beach,Kovalam,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Beach Castle Hotel, Kovalam Beach Road, Neyyattinkara, Thiruvananthapuram District, Kovalam, Kerala",8.382932,76.97967,695527,No,"['beach', 'tourist', 'palm', 'ride', 'grove', 'current', 'massage', 'swimming']"
40,Shangumukam Beach,Shangumukam Beach-KeralaBeach,Shangumukam Beach,4.95,Beach,Kovalam,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Beach Castle Hotel, Kovalam Beach Road, Neyyattinkara, Thiruvananthapuram District, Kovalam, Kerala",8.39,76.976389,695527,No,#N/A
41,Karamana River,Karamana River-KeralaBeach,Karamana River,4.25,Beach,Kovalam,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Kovalam Police Station, Kovalam Beach Road, Neyyattinkara, Thiruvananthapuram District, Kovalam, Kerala",8.381016686,76.99739219,695527,No,"['river', 'bridge', 'city', 'irrigation', 'km', 'supply', 'attraction', 'tip', 'water', 'suburb', 'village', 'kadavu', 'name', 'area', 'tributary', 'dam', 'originates', 'reach']"
42,Vizhinjam Fishing Harbour,Vizhinjam Fishing Harbour-KeralaBeach,Vizhinjam Fishing Harbour,3.63,Beach,Kovalam,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Fishing Harbour Vizhinjam, Neyyattinkara, Thiruvananthapuram District, Kovalam, Kerala",8.37845,76.990352,695521,No,"['area', 'treatment', 'beach', 'centre', 'port', 'town', 'km', 'king', 'massage', 'sea']"
43,Akkulam Lake,Akkulam Lake-KeralaBeach,Akkulam Lake,3.95,Beach,Thiruvananthapuram,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Post Box, Vellayani Lake Road, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.417329,76.969572,695522,No,"['lake', 'snack', 'spot', 'picnic', 'km', 'club', 'park', 'child', 'pool', 'swimming', 'bar', 'attraction', 'boat', 'sea', 'extension']"
44,Vellayani Lake,Vellayani Lake-KeralaBeach,Vellayani Lake,4.64,Beach,Thiruvananthapuram,Thiruvananthapuram District,1,Kovalam,Kerala,HolidayIQ,"Bus Stop, Vellayani Lake Road, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.423469,76.967509,695522,No,"['lake', 'km', 'boat', 'tourist', 'freshwater', 'area', 'country', 'night', 'people', 'water', 'number', 'race', 'sq']"
45,Alibag Beach,Alibag Beach-MaharashtraBeach,Alibag Beach,4.08,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Alibaug Beach, Limaye Wadi, Alibag, Raigarh District, Alibag, Maharashtra",18.638864,72.871795,402201,No,"['beach', 'tourist', 'town', 'region', 'view', 'mazhar', 'platform', 'government', 'middle', 'mind', 'sand', 'safety', 'deposit']"
46,Varsoli Beach,Varsoli Beach-MaharashtraBeach,Varsoli Beach,4.39,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Varsoli Beach, Tivarekar Wadi, Alibag, Raigarh District, Alibag, Maharashtra",18.658629,72.888257,402201,No,"['beach', 'tourist', 'hamlet', 'tree', 'base', 'outskirt', 'coconut', 'sand', 'water', 'satellite']"
47,Kihim Beach,Kihim Beach-MaharashtraBeach,Kihim Beach,4.32,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Sun N Sea Beach Resort, Police Line, Alibag, Raigarh District, Alibag, Maharashtra",18.656468,72.864721,402201,No,"['beach', 'km', 'tree', 'city', 'land', 'vicinity', 'number', 'abundance', 'coconut', 'flower', 'facility', 'beauty', 'north', 'bird', 'distance', 'sight', 'butterfly', 'tent', 'tourist', 'traveller']"
48,Nagaon Beach,Nagaon Beach-MaharashtraBeach,Nagaon Beach,4.13,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Sun N Sea Beach Resort, Police Line, Alibag, Raigarh District, Alibag, Maharashtra",18.647026,72.872443,402201,No,"['tourist', 'beach', 'water', 'cottage', 'island', 'route', 'ride', 'tree', 'farmhouse', 'home', 'kayaking', 'site', 'abundance', 'weekend', 'holiday', 'cypress', 'suru', 'film', 'shore', 'tide']"
49,Mandwa Beach,Mandwa Beach-MaharashtraBeach,Mandwa Beach,4.42,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Sun N Sea Beach Resort, Police Line, Alibag, Raigarh District, Alibag, Maharashtra",18.64652,72.869633,402201,No,"['beach', 'tourist', 'tree', 'number', 'visitor', 'coconut', 'ruin', 'presence', 'synagogue', 'village', 'ferry', 'km', 'cave', 'vicinity', 'spot', 'temple', 'jetty', 'church']"
50,Akshi Beach,Akshi Beach-MaharashtraBeach,Akshi Beach,4.45,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Sun N Sea Beach Resort, Police Line, Alibag, Raigarh District, Alibag, Maharashtra",18.64652,72.869633,402201,No,"['beach', 'tourist', 'literature', 'number', 'sand', 'town', 'water', 'variety', 'suru', 'flora', 'tree', 'purpose', 'hamlet', 'bird', 'swimming', 'distance', 'km', 'epigraph', 'coast']"
51,Thal Beach,Thal Beach-MaharashtraBeach,Thal Beach,NULL,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Sun N Sea Beach Resort, Police Line, Alibag, Raigarh District, Alibag, Maharashtra",18.64652,72.869633,402201,No,"['number', 'fort', 'shore', 'tourist', 'invasion', 'coast', 'island', 'elevation', 'east', 'north', 'village', 'beach', 'fisherman', 'fishing', 'km', 'west', 'centre', 'sea']"
52,Rewas Jetty,Rewas Jetty-MaharashtraBeach,Rewas Jetty,3.73,Beach,Alibag,Raigarh District;Raigad District,1,Alibaug,Maharashtra,HolidayIQ,"Varsoli Jetty, Heera Janu Shiva Marg, Varsoli Koliwada, Alibag, Raigarh District, Alibag, Maharashtra",18.66946,72.86704,402201,No,"['km', 'city', 'getaway', 'jetty', 'life', 'part']"
53,Karli Backwaters,Karli Backwaters-MaharashtraBeach,Karli Backwaters,4.44,Beach,NULL,Sindhudurg District,1,Tarkarli,Maharashtra,HolidayIQ,"Tarkarli, Malwan, Sindhudurg District, Maharashtra",15.994234,73.550768,416606,No,#N/A
54,Achra Beach,Achra Beach-MaharashtraBeach,Achra Beach,4.48,Beach,NULL,Sindhudurg District,1,Tarkarli,Maharashtra,HolidayIQ,"Tarkarli, Malwan, Sindhudurg District, Maharashtra",16.024682,73.487513,416606,No,"['beach', 'airport', 'library', 'village', 'wave', 'attraction', 'adventure', 'town', 'water', 'sport', 'hour', 'area', 'km', 'road', 'treatment', 'temple', 'way', 'minute', 'farming']"
55,Dhamapur Lake,Dhamapur Lake-MaharashtraBeach,Dhamapur Lake,4.72,Beach,NULL,Sindhudurg District,1,Tarkarli,Maharashtra,HolidayIQ,"Dhamapur, Malwan, Sindhudurg District, Maharashtra",17.092524,73.557015,416605,No,"['lake', 'facility', 'water', 'area', 'areca', 'wave', 'greenery', 'adventure', 'plantation', 'coconut', 'hut', 'sport', 'village', 'hill', 'boating', 'year', 'mango', 'activity', 'temple', 'acre']"
56,Kolamb Beach,Kolamb Beach-MaharashtraBeach,Kolamb Beach,4.65,Beach,NULL,Sindhudurg District,1,Tarkarli,Maharashtra,HolidayIQ,"Kolamb, Malwan, Sindhudurg District, Maharashtra",16.033472,73.488951,416606,No,"['beach', 'airport', 'creek', 'name', 'minute', 'part', 'km', 'hour', 'dolphin', 'way', 'sport', 'point', 'water', 'town', 'adventure', 'road']"
57,Poovar Island,Poovar Island-KeralaBeach,Poovar Island,4.42,Beach,Thiruvananthapuram,Thiruvananthapuram District,1,Trivandrum(Thiruvananthapuram),Kerala,HolidayIQ,"Trivandrum, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.495301,76.950413,695011,No,"['island', 'beach', 'backwater', 'tourist', 'minute', 'boat', 'station', 'km', 'railway', 'harbor', 'hour', 'swimming', 'restaurant', 'bird', 'resort', 'periphery', 'fishing', 'coconut', 'attraction.,october', 'destination']"
58,Light House Beach,Light House Beach-KeralaBeach,Light House Beach,4.52,Beach,Thiruvananthapuram,Thiruvananthapuram District,1,Trivandrum(Thiruvananthapuram),Kerala,HolidayIQ,"Frazer Auto House, Kumarapuram Road, Trivandrum, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.515269,76.927398,695011,No,"['beach', 'house', 'hillock', 'm', 'water', 'swimming']"
59,Samudra Beach,Samudra Beach-KeralaBeach,Samudra Beach,4.4,Beach,Thiruvananthapuram,Thiruvananthapuram District,1,Trivandrum(Thiruvananthapuram),Kerala,HolidayIQ,"Trivandrum, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.386789,76.977379,695011,No,"['north', 'headland', 'activity', 'fisherman']"
60,Shanghumukham Beach,Shanghumukham Beach-KeralaBeach,Shanghumukham Beach,4.33,Beach,NULL,Thiruvananthapuram District,1,Trivandrum(Thiruvananthapuram),Kerala,HolidayIQ,"The Beach House, Thiruvananthapuram, Thiruvananthapuram District, Kerala",8.486944,76.921944,695301,No,"['beach', 'city', 'concrete', 'tourist', 'view', 'spot', 'km', 'distance', 'picnic', 'sun', 'year', 'attraction', 'setting']"
61,Hawa Beach,Hawa Beach-KeralaBeach,Hawa Beach,4.34,Beach,NULL,Thiruvananthapuram District,1,Trivandrum(Thiruvananthapuram),Kerala,HolidayIQ,"The Beach House, Thiruvananthapuram, Thiruvananthapuram District, Kerala",8.382932,76.97967,695301,No,"['beach', 'tourist', 'destination', 'resort', 'cove']"
62,Radhanagar Beach,Radhanagar Beach-Andaman & Nicobar IslandsBeach,Radhanagar Beach,4.67,Beach,NULL,South Andaman District,1,Havelock Island,Andaman & Nicobar Islands,HolidayIQ,"Radhanagar Beach, Port Blair, South Andaman District, Andaman & Nicobar Islands",11.975483,92.987258,744211,No,"['beach', 'tourist', 'kayaking', 'scuba', 'world', 'ride', 'swimming', 'fauna', 'flora', 'snorkelling', 'nature', 'view', 'range', 'sunset', 'lover', 'distance', 'km', 'activity', 'addition', 'diving']"
63,Elephant Beach,Elephant Beach-Andaman & Nicobar IslandsBeach,Elephant Beach,4.46,Beach,NULL,South Andaman District,1,Havelock Island,Andaman & Nicobar Islands,HolidayIQ,"Radhanagar Beach, Port Blair, South Andaman District, Andaman & Nicobar Islands",11.975483,92.987258,744211,No,"['beach', 'minute', 'fraction', 'hike', 'path', 'hassle', 'ride', 'shoreline', 'snorkelling', 'boat', 'present', 'trip', 'coral', 'market', 'day', 'hour', 'distance', 'km', 'affair', 'jungle']"
64,Kaala Pathar Beach,Kaala Pathar Beach-Andaman & Nicobar IslandsBeach,Kaala Pathar Beach,4.43,Beach,NULL,South Andaman District,1,Havelock Island,Andaman & Nicobar Islands,HolidayIQ,"Radhanagar Beach, Port Blair, South Andaman District, Andaman & Nicobar Islands",11.984395,92.952911,744211,No,#N/A
66,Vijaynagar Beach,Vijaynagar Beach-Andaman & Nicobar IslandsBeach,Vijaynagar Beach,4.6,Beach,NULL,South Andaman District,1,Havelock Island,Andaman & Nicobar Islands,HolidayIQ,"Vijaynagar Beach, Port Blair, South Andaman District, Andaman & Nicobar Islands",12.032038,92.999437,744211,No,"['beach', 'tourist', 'surroundings', 'walk', 'addition', 'refreshing', 'salt', 'environment', 'sea', 'paradise']"
68,Panambur Beach,Panambur Beach-KarnatakaBeach,Panambur Beach,4.47,Beach,Mangaluru,Dakshina Kannada District,1,Mangalore,Karnataka,HolidayIQ,"Panambur Beach, Indian Oil Tank Farm, Bengre, Mangalore, Dakshina Kannada District, Mangaluru, Karnataka",12.937083,74.804414,575006,No,"['kite', 'group', 'maker', 'festival', 'site', 'beach', 'week', 'flyer']"
69,Tannirubhavi Beach,Tannirubhavi Beach-KarnatakaBeach,Tannirubhavi Beach,4.75,Beach,Mangaluru,Dakshina Kannada District,1,Mangalore,Karnataka,HolidayIQ,"Tannir Bavi Beach, Bengre, Mangalore, Dakshina Kannada District, Mangaluru, Karnataka",12.987884,74.80118,575010,No,#N/A
