,Word,wcount,,
516,chariot,15,,
162,army,15,,
1738,mahal,15,,
3122,venue,15,,
1197,founder,15,,
1929,movement,15,,
808,decoration,15,,
531,child,15,,
1411,homage,15,,
1914,mother,15,,
1703,local,15,,
1074,exterior,15,,
3050,tribe,15,,
487,cenotaph,15,,
2761,spire,14,,
2172,picture,14,,
3096,use,14,,
1834,member,14,,
1415,honour,14,,
826,demon,14,,
2285,priest,14,,
238,balcony,14,,
1335,gurudwara,14,,
1720,lover,14,,
689,costume,14,,
3076,type,14,,
1195,foundation,14,,
603,combination,14,,
978,element,14,,
2782,staircase,14,,
638,condition,14,,
654,consort,14,,
2781,stair,14,,
1794,marriage,14,,
129,antiquity,14,,
1859,middle,14,,
2621,service,14,,
2078,panel,14,,
2672,show,14,,
2969,tile,13,,
1367,headquarters,13,,
2482,ritual,13,,
2453,rest,13,,
1759,man,13,,
2566,scene,13,,
2855,sun,13,,
1540,jail,13,,
3067,tunnel,13,,
1677,lifestyle,13,,
889,direction,13,,
1504,insight,13,,
567,clock,13,,
2127,peak,13,,
1083,face,13,,
1879,mirror,13,,
32,abode,13,,
1055,exhibition,13,,
1128,figurine,13,,
1908,morning,13,,
2741,source,13,,
1172,follower,13,,
2742,south,13,,
2236,pool,13,,
3214,winter,13,,
1826,meditation,13,,
1952,mythology,13,,
2113,path,13,,
1980,night,12,,
2617,series,12,,
331,birthplace,12,,
1170,folk,12,,
186,ashram,12,,
675,copper,12,,
2947,theatre,12,,
92,altitude,12,,
1762,mandapam,12,,
52,activity,12,,
641,confluence,12,,
1679,light,12,,
2421,religion,12,,
2246,portion,12,,
91,altar,12,,
2252,post,12,,
1078,eye,12,,
1961,nature,12,,
1830,meeting,12,,
2573,science,12,,
2257,pottery,12,,
2192,plan,12,,
2753,specimen,12,,
1329,gun,12,,
3071,turret,12,,
697,couple,12,,
78,aim,12,,
1841,men,12,,
2771,spring,11,,
2886,system,11,,
2169,picnic,11,,
854,development,11,,
1043,evidence,11,,
993,enclosure,11,,
2250,position,11,,
2444,reservoir,11,,
2125,peacock,11,,
2540,sanctorum,11,,
2961,thousand,11,,
1492,inhabitant,11,,
1272,glimpse,11,,
180,artwork,11,,
1090,faith,11,,
1631,landmark,11,,
746,crystal,11,,
1686,line,11,,
837,descendant,11,,
2427,renovation,11,,
1714,lord,11,,
1862,mile,11,,
358,border,11,,
2993,tool,11,,
208,attention,11,,
1515,interest,11,,
1180,force,11,,
1401,historian,11,,
997,enemy,11,,
2348,quarter,11,,
1221,furniture,10,,
2655,shikhara,10,,
2823,stream,10,,
2669,shore,10,,
1849,meter,10,,
709,craft,10,,
2502,route,10,,
2041,ornate,10,,
735,cross,10,,
1946,musician,10,,
2683,sight,10,,
2256,pot,10,,
1696,literature,10,,
369,bracket,10,,
338,blend,10,,
1637,language,10,,
1342,half,10,,
2503,row,10,,
2456,result,10,,
1222,fusion,10,,
2882,symbol,10,,
1651,leader,10,,
2315,property,10,,
687,corridor,10,,
2964,throne,10,,
2569,scholar,10,,
161,armoury,10,,
988,empire,10,,
204,attack,10,,
2836,stupa,10,,
2242,porch,10,,
548,circumference,9,,
190,assembly,9,,
1605,knowledge,9,,
213,audience,9,,
2298,procession,9,,
2245,portico,9,,
517,charm,9,,
1488,influence,9,,
1716,lot,9,,
1018,epic,9,,
2448,resort,9,,
2830,struggle,9,,
2787,stand,9,,
2863,supply,9,,
1624,lady,9,,
1362,havelis,9,,
1148,flag,9,,
339,blessing,9,,
1791,market,9,,
2707,skill,9,,
348,boat,9,,
2047,outskirt,9,,
767,custom,9,,
1189,fortification,9,,
1844,merchant,9,,
362,boulder,9,,
2527,sage,9,,
1430,hour,9,,
2457,retreat,9,,
309,belonging,9,,
1173,food,9,,
2468,ride,9,,
858,devotion,9,,
1931,mud,9,,
455,carpet,9,,
1729,m.,9,,
269,basement,9,,
2279,presence,9,,
564,cliff,9,,
2775,stable,9,,
178,artist,8,,
121,anniversary,8,,
3190,week,8,,
3198,wheel,8,,
176,artisan,8,,
2013,offering,8,,
550,citadel,8,,
794,daughter,8,,
1444,husband,8,,
2968,tiger,8,,
771,cycle,8,,
571,clothes,8,,
2752,specie,8,,
787,dancing,8,,
1962,navagraha,8,,
757,cupola,8,,
3124,verandah,8,,
2909,teacher,8,,
2504,royal,8,,
2541,sanctuary,8,,
1508,institute,8,,
1340,hair,8,,
2202,plaster,8,,
1906,moon,8,,
2591,season,8,,
1899,monkey,8,,
1535,ivory,8,,
2834,study,8,,
1801,masonry,8,,
2938,testimony,8,,
1302,grandeur,8,,
3062,trust,8,,
1554,jewel,8,,
1884,moat,8,,
1509,institution,8,,
1771,mansion,8,,
3097,utensil,8,,
2395,record,8,,
1310,grave,8,,
1361,haveli,8,,
2839,subject,8,,
1125,fight,8,,
2635,shakti,8,,
2658,ship,8,,
2234,pooja,8,,
3012,township,8,,
3013,toy,8,,
1979,niche,8,,
829,department,8,,
2307,programme,8,,
2578,screen,8,,
3032,transportation,8,,
2580,scripture,8,,
494,ceremony,8,,
1628,lamp,8,,
2897,tale,8,,
2371,rampart,8,,
61,admission,8,,
1138,fire,8,,
3025,training,8,,
206,attempt,8,,
2004,observatory,8,,
58,administration,8,,
2292,prisoner,8,,
21,6th,7,,
688,cost,7,,
2201,plaque,7,,
2198,plant,7,,
82,airport,7,,
2711,slab,7,,
3247,yesteryear,7,,
1555,jewellery,7,,
711,craftsmanship,7,,
1106,feast,7,,
2134,penance,7,,
3215,wish,7,,
666,contribution,7,,
2685,sign,7,,
2940,textile,7,,
1490,information,7,,
2117,pathway,7,,
1334,guru,7,,
1523,invader,7,,
1182,foreigner,7,,
971,education,7,,
831,depiction,7,,
2306,program,7,,
489,center,7,,
1958,nation,7,,
1387,hero,7,,
3024,train,7,,
1725,luxury,7,,
482,cell,7,,
1269,girl,7,,
3137,victory,7,,
3130,vessel,7,,
1798,masjid,7,,
2584,sculptor,7,,
472,cathedral,7,,
2360,rail,7,,
2605,seeker,7,,
466,castle,7,,
2619,serpent,7,,
1916,motif,7,,
1875,minister,7,,
290,beach,7,,
2824,street,7,,
3039,treasure,7,,
1282,good,7,,
2627,settlement,7,,
1292,governor,7,,
2786,stamp,7,,
437,canopy,7,,
1304,grandson,7,,
432,canal,7,,
1885,mode,7,,
506,chapel,7,,
1802,mass,7,,
1032,establishment,7,,
3174,waterfall,7,,
2981,title,7,,
1064,experience,7,,
160,armour,7,,
789,dargah,7,,
2274,precinct,7,,
2879,sword,7,,
2610,semi,7,,
1408,hole,7,,
563,clay,7,,
2864,support,7,,
1450,icon,7,,
2019,oil,7,,
2382,re,7,,
361,bottom,7,,
3169,warrior,7,,
1806,masterpiece,7,,
398,bull,7,,
1024,equipment,7,,
1685,limestone,7,,
1688,lingam,7,,
528,chhatris,7,,
816,defence,7,,
401,bungalow,7,,
2040,ornamentation,7,,
1113,ferry,6,,
2815,storage,6,,
913,document,6,,
1322,guardian,6,,
2790,star,6,,
1321,guard,6,,
918,doll,6,,
1339,habitat,6,,
938,dream,6,,
973,effort,6,,
1158,flood,6,,
2749,spear,6,,
2723,society,6,,
1057,exile,6,,
2866,surface,6,,
1202,frame,6,,
1469,impression,6,,
2862,supervision,6,,
1478,incident,6,,
2860,sunset,6,,
740,crown,6,,
1011,enthusiasm,6,,
2625,set,6,,
2648,shelter,6,,
1485,industry,6,,
2727,soil,6,,
968,edge,6,,
1162,flow,6,,
962,earthquake,6,,
849,detail,6,,
2838,sub,6,,
2779,stage,6,,
1020,episode,6,,
2195,planetarium,6,,
2971,timber,6,,
1789,mark,6,,
2037,origin,6,,
1769,manner,6,,
3052,tribute,6,,
2400,reference,6,,
422,calendar,6,,
163,arrangement,6,,
164,array,6,,
1781,map,6,,
620,completion,6,,
2022,opening,6,,
2471,right,6,,
2394,reconstruction,6,,
1680,lighthouse,6,,
179,artistry,6,,
3183,weather,6,,
1818,mean,6,,
3162,walk,6,,
1820,measure,6,,
596,colonial,6,,
561,class,6,,
3148,villager,6,,
1642,latticework,6,,
233,background,6,,
2309,project,6,,
2310,projection,6,,
1870,mind,6,,
242,bamboo,6,,
2353,r,6,,
3180,wealth,6,,
2956,thing,6,,
134,appearance,6,,
2231,pomp,6,,
3018,trade,6,,
