,Attraction,Keywords
864,Gandhi Museum ,"['museum', 'assassination', 'theatre', 'premise', 'book', 'programme', 'lifetime', 'house', 'country', 'life', 'air', 'collection', 'blood', 'people', 'film', 'meeting', 'dhoti', 'time', 'show', 'palace']"
865,Forest Museum ,"['museum', 'construction', 'peauma', 'wood', 'timber', 'gurjan', 'artefact', 'distance', 'motive', 'padauk', 'kilometre', 'oak', 'forest', 'insight']"
866,Gandikota Fort ,"['fort', 'century', 'reign', 'style', 'dynasty', 'role', 'gorge']"
867,Ganesh And Nandi Statue ,"['statue', 'temple', 'site', 'mud', 'town', 'ruin', 'present', 'markets.,bankura', 'dam', 'part', 'state.,these', 'hill', 'taxi', 'destination', 'style', 'handicraft', 'tourist', 'bus', 'state', 'item']"
868,Ganesh Ratha Temple ,"['temple', 'structure', 'style', 'rock', 'ratha', 'north', 'shrine', 'idol', 'chariot', 'lingam']"
869,Ganapati Temple ,"['temple', 'shrine', 'pilgrimage', 'deity', 'destination', 'km']"
870,Ganesh Temple Khajrana ,"['devotee', 'fair', 'temple', 'focus', 'wish', 'sunday', 'festival', 'year', 'wednesday', 'destination', 'prayer', 'region', 'honour', 'belief']"
871,Ganga Maiya Temple ,"['idol', 'net', 'hut', 'temple', 'fishing', 'area', 'fisherman']"
872,Ganga Singh Museum ,"['museum', 'craft', 'level', 'exhibitings', 'building', 'glass', 'craftsman', 'dignitary', 'art', 'house', 'highlight', 'carpet', 'portrait', 'article', 'display', 'array', 'period', 'trophy', 'leaf', 'metal']"
873,Gangeshwar Temple ,"['kingdom', 'temple', 'rock', 'wave', 'village', 'exile', 'km']"
874,Garadia Mahadev ,"['gorge', 'picnic', 'temple', 'view', 'plain', 'spot']"
875,Gard Moyna ,"['fort', 'ft', 'part', 'area', 'sq', 'moat']"
876,Gargaon Palace ,"['palace', 'year', 'attraction', 'km', 'gargaon', 'floor', 'passage', 'dynasty', 'seat']"
877,Garh Palace ,"['portion', 'mural', 'palace', 'wall', 'public', 'edifice']"
878,Ganesh Temple ,"['statue', 'temple', 'foot', 'name', 'elephant', 'distance', 'mythology', 'dog', 'location', 'god', 'city', 'idol', 'km']"
879,Gauri Shankar Temple ,"['temple', 'cone', 'sandstone', 'turret', 'sanctum']"
880,Gedu Mian's Mosque ,"['mosque', 'prayer', 'year', 'hall', 'flow', 'shoe', 'taxi', 'delight', 'hotel', 'centre', 'tourist', 'extent', 'plethora', 'rickshaw', 'minaret', 'lady', 'devotee', 'choice', 'head', 'month']"
881,Gedu Miar Maszid ,"['mosque', 'piety', 'minority', 'devotion', 'testimony', 'site', 'area', 'importance', 'individual']"
882,Gejjala Mantapa ,"['temple', 'nature', 'addition', 'god', 'pillar', 'others', 'festival', 'importance', 'path', 'pavilion', 'elevation', 'usage', 'monument', 'structure', 'idol', 'side']"
883,General Zorawar's Fort ,"['ruler', 'fort', 'ruin', 'artefact', 'overlook', 'specimen', 'stamp', 'struggle', 'coin', 'wealth', 'visitor']"
884,George Castle ,"['forest', 'halt', 'park', 'hunting', 'view', 'castle', 'tiger', 'point']"
885,Ghagar Buri Chandi Temple ,"['temple', 'devotee', 'shrine', 'pujas', 'dusk', 'clothes', 'rivulet', 'distance', 'part', 'year', 'good', 'winter', 'mother', 'month', 'image', 'accessory', 'interest', 'example', 'bank', 'km']"
886,Ghanerao Castle ,"['castle', 'time', 'chandelier', 'style', 'sandstone', 'lifestyle', 'marble', 'town', 'premise', 'present', 'period', 'tradition', 'mark', 'havelis', 'hospitality', 'hotel', 'requirement', 'heritage', 'lattice', 'soldier']"
887,Ghanpur Group Of Temples ,"['temple', 'patma', 'stone', 'motif', 'rule', 'ad', 'figure', 'pillar', 'lion', 'style', 'feature', 'shape', 'attraction', 'salabhanjikas', 'century', 'ceiling', 'south', 'variation', 'wall', 'entrance']"
888,Ghanta Ghar ,"['tourist', 'textile', 'shopping', 'clay', 'marble', 'market', 'jewellery', 'tower', 'elephant', 'work', 'figurine', 'inlay', 'camel', 'spree']"
889,Ghantai Temple ,"['temple', 'mother', 'ornamentation', 'stone', 'ruin', 'ad', 'figure', 'goddess', 'pillar', 'design', 'architecture', 'conception', 'bell', 'ghanta', 'wall', 'chain', 'dream', 'display', 'image', 'dimension']"
890,Gillispie's Grave ,"['death', 'inscription']"
891,Gingee Fort ,"['fort', 'century', 'effort', 'region', 'district', 'condition', 'beauty', 'reference', 'form', 'history', 'fortress', 'name']"
892,Giri Sarovar ,"['bus', 'addition', 'spot', 'gateway', 'experience', 'hill', 'tourist', 'condition', 'sarovar', 'atmosphere', 'weather', 'stand', 'picnic', 'lake', 'km']"
893,Gita Temple ,"['temple', 'carving', 'inscription', 'outskirt', 'text', 'ofmathura', 'painting', 'occasion', 'idol', 'deity']"
894,Goa Archaeological Museum ,"['museum', 'collection', 'image', 'stone', 'statue', 'coin', 'copper', 'shepherd', 'ivory', 'flock', 'object', 'portrait', 'casket', 'highlight', 'governor', 'goddess', 'section', 'depiction', 'metre', 'sixty']"
895,Gobindgarh Fort ,"['fort', 'army', 'entrance', 'rule', 'control', 'heart', 'pattern', 'provision', 'year', 'immigrant', 'camp', 'public', 'administration', 'grain', 'weaponry', 'date', 'partition', 'cannon', 'tunnel', 'time']"
896,Godavari Dham Temple ,"['marble', 'bank', 'structure', 'temple', 'tower']"
897,Gohar Mahal ,"['palace', 'style', 'ruler', 'bank', 'renovation', 'path', 'architecture', 'woman', 'blend', 'marvel', 'grandeur']"
898,Gol Ghar ,"['m', 'building', 'shape', 'granary', 'famine']"
899,Golconda Fort ,"['fort', 'km', 'control', 'ad', 'tree', 'year', 'city', 'point', 'wall', 'palace', 'blockade', 're', 'attraction', 'centre', 'clapping', 'gun', 'middle', 'cannon', 'dynasty', 'height']"
900,Golden Temple ,"['temple', 'sarovar', 'gold', 'gurudwara', 'work', 'construction', 'foot', 'marble', 'water', 'property', 'doorway', 'bath', 'devotee', 'shoe', 'support', 'book', 'century', 'power', 'decoration', 'head']"
901,Gomateshwara Statue ,"['statue', 'festival', 'attraction', 'm', 'curd', 'ceremony', 'year', 'ghee', 'century', 'inscription', 'world', 'language', 'milk', 'base']"
902,Gomatgiri ,"['statue', 'hillock', 'religion', 'airport', 'samaj', 'marble', 'devotee', 'temple', 'minute', 'house', 'replica', 'government', 'drive']"
903,Gond Raja Fort ,"['fort', 'century', 'king', 'construction', 'building', 'objective', 'measure', 'death', 'transport', 'bus', 'work', 'rickshaw', 'enemy', 'attack', 'wall', 'mile', 'ft', 'area', 'service', 'state']"
904,Gop Hindu Temple ,"['temple', 'pm', 'century', 'hill', 'family', 'base', 'king', 'road', 'time', 'visit', 'platform', 'temple.,situated', 'devotee', 'shikhara', 'amalaka', 'pathway', 'timing', 'attraction', 'km', 'meter']"
905,Gopal Temple ,"['door', 'heart', 'square', 'specimen', 'marble', 'silver', 'architecture', 'century', 'temple', 'market', 'benefaction', 'queen', 'chamber', 'goddess']"
906,Gopishvar Mahadev Temple ,"['part', 'pm', 'evening', 'time', 'temple', 'name', 'story', 'morning', 'silk', 'sari', 'male', 'destination', 'pilgrimage', 'adorned.,one', 'arena', 'celebration', 'nose', 'night', 'ring', 'offering']"
907,Gorakhnath Temple ,"['temple', 'form', 'shape', 'structure', 'time', 'location', 'attempt', 'destination', 'attraction', 'name', 'portrait', 'rule', 'month', 'sightseeing', 'head', 'priest', 'feature']"
908,Goripalayam Dargah ,"['dargah', 'dome', 'ft', 'saint', 'century', 'inscription', 'piece', 'month', 'awwal', 'language', 'bank', 'night', 'mosque', 'devotee', 'feature', 'height', 'tomb', 'evidence', 'existence', 'calendar']"
909,Gour ,"['century', 'monument', 'region', 'significance', 'number', 'site', 'tourist', 'remnant', 'town', 'capital', 'km']"
910,Govardhana Matha ,"['founder', 'worship', 'century', 'a.d.', 'consolidator', 'form', 'king', 'site', 'tourist', 'town', 'passion', 'marble', 'principle', 'year', 'ideology', 'shrine', 'rule', 'country', 'doctrine', 'saint']"
911,Government Educational Museum ,"['painting', 'type', 'cannon', 'image', 'museum', 'stamp', 'doll', 'costume', 'terracotta', 'sculpture', 'metal', 'coin', 'stone']"
912,Government Museum ,"['museum', 'exhibit', 'carving', 'multipurpose', 'coin', 'archaeology', 'sculpture', 'specimen', 'bronze', 'memorabilia', 'artefact', 'craft', 'year', 'object', 'collection', 'temple', 'history', 'numismatics', 'wood', 'anthropology']"
913,Govind Dev Ji Temple ,"['temple', 'century', 'painting', 'family', 'inhabitant', 'day', 'complex', 'tourist', 'shrine', 'time', 'idol', 'festival']"
914,Govindgarh Fort ,"['region', 'home', 'proximity', 'others', 'timber', 'town', 'temple', 'tree', 'specie', 'third', 'forest', 'summer', 'capital', 'km']"
915,Gowda Temple ,"['temple', 'style', 'support', 'pillar', 'vicinity', 'architecture', 'base', 'sanctum']"
916,Grameswara Temple ,"['temple', 'interest', 'landmark', 'vicinity', 'deity', 'distance', 'destination', 'idol', 'god', 'city.,apart', 'shrine', 'capital', 'km']"
917,Grave Of Ibrahim Lodhi ,"['tomb', 'memorial', 'structure', 'grave', 'defeat', 'brick', 'fight', 'king', 'centre', 'battle', 'renovation', 'step', 'part', 'inscription', 'result', 'platform', 'pilgrimage', 'regret', 'office', 'uncle']"
918,Great Stupa ,"['structure', 'metre', 'height', 'diameter', 'hemispherical', 'majesty', 'path', 'dome', 'procession', 'stone', 'symbol']"
919,Green Chowk ,"['gate', 'style', 'series', 'square', 'storey', 'town', 'frame', 'tower', 'clock', 'cast', 'dome', 'iron', 'structure', 'stone']"
920,Grishneshwar Jyotirlinga Temple ,"['temple', 'site', 'time', 'devotee', 'pm', 'family', 'attraction', 'payment', 'inscription', 'mosque', 'earth', 'tourist', 'month', 'source', 'entry', 'visit', 'shrine', 'tradition', 'people', 'destination']"
921,Gol Gumbaz ,"['tomb', 'building', 'dome', 'gallery', 'diameter', 'recess', 'garden', 'm', 'side', 'turret', 'drum', 'pillar', 'project', 'dynasty', 'periphery', 'corner', 'medallion', 'height', 'm.', 'staircase']"
922,Gufa Mandir ,"['temple', 'building', 'statue', 'college', 'tourist', 'vicinity', 'part', 'plenty', 'world', 'day', 'campus', 'darshan', 'city']"
923,Gujari Mahal Archaeological Museum ,"['museum', 'collection', 'palace', 'century', 'painting', 'sculpture', 'photograph', 'terracotta', 'artefact', 'history', 'coin', 'fort', 'area', 'antique', 'evidence', 'queen', 'permission', 'statue', 'country', 'inscription']"
924,Gulbarga Fort ,"['fort', 'tower', 'structure', 'feudatory', 'stable', 'army', 'marauder', 'temple', 'style', 'building', 'withstood', 'mosque', 'architecture', 'invasion', 'dump', 'premise', 'ammunition', 'encompass', 'capital']"
925,Gumti Darwaza ,"['part', 'decoration', 'gold', 'terracotta', 'brick', 'structure', 'mosque']"
926,Gunaseelam Vishnu Temple ,"['temple', 'feature', 'bank', 'legend', 'day', 'sannidhi', 'child', 'premise', 'deity']"
927,Gundert Bungalow ,"['building', 'watchtower', 'shape', 'missionary', 'scholar', 'bungalow', 'work', 'town', 'newspaper', 'residence', 'km']"
928,Gundicha Temple ,"['temple', 'garden', 'wheel', 'gundicha', 'aunt', 'festival', 'middle', 'century', 'house', 'day', 'dome', 'top', 'north', 'direction', 'east']"
929,Gurdwara Akalgarh ,"['way', 'memory', 'fair', 'village', 'gurdwara', 'month']"
930,Gurdwara Azamgarh Sahib ,"['din', 'remains', 'slipper', 'belief', 'birthplace', 'pair', 'dagger', 'saint', 'poet']"
931,Gurdwara Garna Sahib ,"['guru', 'gurdwara', 'visit', 'tree', 'garna', 'floor', 'marble', 'sanctum', 'dome', 'village', 'rest', 'community', 'km']"
932,Gurdwara Guru Dian Tahalian ,"['tahli', 'horse', 'site', 'village', 'guru', 'remembrance', 'tree']"
933,Gurdwara Harian Velan ,"['distance', 'city', 'village', 'remembrance', 'km']"
934,Gour ,"['distance', 'kilometre', 'relic', 'treasure', 'south', 'town', 'capital', 'border', 'dynasty']"
935,Gurdwara Jand Sahib ,"['tree', 'time', 'village', 'complex', 'jand', 'guru']"
936,Gurdwara Pathar Sahib ,"['year', 'boulder', 'road', 'valley', 'demon', 'air', 'kilo', 'legend', 'tourist', 'time', 'flock', 'local', 'fiend', 'name', 'sea', 'pathar', 'foot', 'inhabitant', 'rail', 'century']"
937,Gurdwara Tahli Sahib ,"['km', 'remembrance', 'village']"
938,Gurkha Fort ,"['fort', 'style', 'attraction', 'mural', 'year', 'state', 'capital']"
939,Government Museum ,"['fossil', 'museum', 'animal', 'sandstone', 'vertebrate', 'worm', 'sculpture', 'invertebrate', 'city', 'hotel', 'time', 'township', 'century', 'record', 'limestone', 'sea', 'collection', 'ride', 'anemone', 'walk']"
940,Gurramkonda ,"['town', 'hill', 'horse', 'name', 'konda', 'highlight', 'mosque', 'fort', 'highway', 'ruler', 'year', 'ft', 'palace', 'elevation', 'structure', 'district']"
941,Guru Baghawan Temple ,[]
942,Guru Basadi ,"['leaf', 'granite', 'basadi', 'exterior', 'kayotsarga', 'wall', 'temple', 'palm', 'posture', 'image', 'scripture', 'copper', 'monument', 'idol', 'stone']"
943,Government Museum ,"['museum', 'collection', 'sculpture', 'attraction', 'bird', 'art', 'section', 'metal', 'leaf', 'mammal', 'inscription', 'material', 'town', 'heart', 'mould', 'manuscript', 'statue', 'display', 'tool', 'coin']"
944,Guru Gorakhnath Temple ,[]
945,Government Museum ,"['collection', 'work', 'king', 'painting', 'brass', 'region', 'battle', 'day', 'kind', 'ivory', 'part', 'animal', 'history', 'post', 'number', 'manuscript', 'weaponry', 'leaf', 'independence', 'palace']"
946,Guru Ka Tal ,"['gurudwara', 'reservoir', 'site', 'tower', 'carving', 'arm', 'stone', 'purpose', 'season', 'area', 'irrigation']"
947,Gurudwara Baba Atal Rai ,"['building', 'doorway', 'structure', 'life', 'year', 'tower', 'interior', 'storey', 'canopy', 'son', 'father', 'trance', 'east', 'edifice', 'saying', 'dome', 'holiness', 'act', 'samadhi', 'truth']"
948,Gurudwara Bangla Sahib ,"['gurudwara', 'people', 'devotee', 'anniversary', 'school', 'facade', 'death', 'pond', 'kitchen', 'faith', 'creed', 'bath', 'caste', 'art', 'gold', 'worship', 'food', 'dome', 'library', 'birth']"
949,Government Museum ,[]
950,Gurudwara Bir Baba Budha Sahib ,"['gurudwara', 'hall', 'dining', 'village', 'time', 'seat', 'wife', 'gesture', 'hospitality', 'north', 'sarovar', 'book', 'son', 'block', 'sq', 'marble', 'complex', 'follower', 'area', 'legend']"
951,Government Museum ,"['museum', 'history', 'attraction', 'year', 'art', 'gallery', 'architecture', 'heritage', 'culture', 'artefact']"
952,Gurudwara Chheharta Sahib ,"['hall', 'flag', 'village', 'gurudwara', 'brass', 'well', 'palisade', 'm', 'sq', 'complex', 'post', 'site', 'dome', 'father', 'area', 'sanctum', 'middle', 'son', 'birthplace', 'gold']"
953,Gurudwara Data Bandi Chhod ,"['year', 'room', 'house', 'incident', 'site', 'king', 'pilgrimage', 'title', 'prisoner', 'staff', 'premise', 'history', 'robe', 'tourist', 'acre', 'whoever', 'dining', 'glass', 'time', 'release']"
954,Gurudwara Guru Ka Mahal ,"['gurudwara', 'residence', 'family', 'son', 'anniversary', 'festival', 'birthplace', 'shrine', 'hall', 'birth']"
955,Government Museum ,"['statue', 'gallery', 'area', 'painting', 'culture', 'inscription', 'yaksha', 'collection', 'deity', 'stamp', 'oil', 'couple', 'evidence', 'postage', 'antique', 'sculpture', 'metal', 'civilization', 'idol', 'veena']"
956,Gurudwara Mata Kaulan ,"['tank', 'family', 'house', 'home', 'path', 'asylum', 'religion', 'decision', 'worship', 'girl']"
957,Gurudwara Pipli Sahib ,"['gurudwara', 'memory', 'name', 'tree', 'tourist', 'm', 'attraction', 'festival', 'guru', 'road', 'railway', 'station', 'km']"
958,Government Museum ,"['museum', 'statue', 'painting', 'ruin', 'fort', 'century', 'inscription', 'rank', 'goddess', 'palace', 'manuscript', 'god', 'sculpture', 'idol']"
959,Gurudwara Saragrahi Sahib ,"['wall', 'gurudwara', 'memorial', 'soldier', 'life', 'name', 'homage', 'post', 'stone', 'bravery', 'cannon', 'story', 'battle', 'monument', 'flight']"
960,Gurudwara Sis Ganj Sahib ,"['gurudwara', 'site', 'wheat', 'premise', 'devotee', 'tree', 'ghee', 'century', 'hall', 'canopy', 'leader', 'bronze', 'martyrdom', 'well']"
961,Gurudwara Sri Guru Singh Sabha ,"['gurudwara', 'hall', 'text', 'symbolise', 'prayer', 'floor', 'city', 'site', 'centre', 'location', 'community', 'door', 'locality', 'shipyard', 'construction', 'style', 'ground', 'mindedness', 'architecture', 'entrance']"
962,Gwalior Fort ,"['fort', 'part', 'rule', 'number', 'year', 'ruler', 'century', 'tourist', 'building', 'rock', 'temple', 'queen', 'dynasty', 'king', 'city', 'metre', 'tank', 'town', 'state', 'stamp']"
963,Hakim Karam Hussain Museum ,"['museum', 'gallery', 'section', 'health', 'addition', 'memoir', 'winner', 'souvenir', 'sculpture', 'time', 'material', 'history', 'collection', 'civilization', 'catalogue', 'art', 'physician', 'science', 'view', 'culture']"
964,Haldighati ,"['distance', 'km', 'battlefield', 'battle', 'fact', 'soil', 'marble', 'mountain', 'firma', 'value', 'combat', 'legend', 'bloodshed', 'sign', 'site', 'admiration', 'presence', 'petal', 'gulkand', 'name']"
965,Hanuman Mandir ,"['temple', 'devotee', 'rickshaw', 'child', 'custom', 'city', 'side', 'attraction', 'people', 'blessing', 'posture', 'deity', 'legend', 'ceremony', 'couple', 'wish', 'dance', 'cycle', 'auto', 'langoor']"
966,Hanuman Tekri ,[]
967,Hanuman Mandir ,"['foot', 'river', 'temple', 'idol', 'spate', 'tourist', 'proximity', 'level', 'mythology', 'water', 'position', 'ground', 'city', 'rise']"
968,Hanuman Temple ,"['temple', 'role', 'rescue', 'vanquish', 'deity']"
969,Hari Parbat Fort ,"['fort', 'century', 'governor', 'permission', 'department', 'side', 'vicinity', 'wall']"
970,Harshat Mata Temple ,"['temple', 'garbhagriha', 'idol', 'goddess', 'deity', 'wreck', 'honour', 'brightness', 'number', 'sculpture', 'style', 'day', 'sandhara', 'pillar', 'ceiling', 'sanctum', 'platform', 'mandapa', 'devotee', 'condition']"
971,Harsiddhi Temple ,"['temple', 'idol', 'colour', 'pillar', 'art', 'age', 'condition', 'premise', 'lamp', 'galaxy', 'feature', 'period', 'location', 'well', 'vermilion']"
972,Hathi Bhata ,"['monument', 'inscription', 'reign', 'shape', 'story', 'elephant', 'stone', 'km']"
973,Hathi Mahal ,"['elephant', 'leg', 'pillar']"
974,Hathisingh Jain Temple ,"['temple', 'marble', 'shrine', 'porch', 'arrangement', 'image', 'front', 'replica', 'building', 'merchant', 'carving', 'dome', 'side', '15th', 'structure']"
975,Hatundi Rata Mahabir Temple ,"['temple', 'structure', 'cupola', 'part', 'sky', 'porch', 'number', 'time', 'dome', 'sculpture', 'colour', 'shape', 'end', 'sanctum', 'turret', 'pyramid', 'stairway', 'balcony', 'form']"
976,Hauz Khas Complex ,"['water', 'century', 'tank', 'ruler', 'structure', 'village', 'site', 'pavilion', 'seminary', 'boutique', 'reign', 'gallery', 'cum', 'mosque', 'traveller', 'resident', 'complex', 'art', 'area', 'region']"
977,Hauz-i-Jehandiri ,"['bath', 'm', 'weather', 'rim', 'inscription', 'step', 'car', 'block', 'enclosure', 'summer', 'depth', 'complex', 'year', 'bathing', 'emperor', 'marriage', 'student', 'circumference', 'month', 'sand']"
978,Haveli Todar Mal ,"['brick', 'land', 'haveli', 'community', 'residence', 'body']"
979,Havelis Of The Goenkas ,"['style', 'region', 'architecture', 'example']"
980,Hawa Mahal ,"['museum', 'woman', 'structure', 'life', 'view', 'sandstone', 'latticework', 'city', 'storey', 'window', 'zenana', 'section']"
981,Hayath Bakshi Begum Mosque ,"['mosque', 'attraction', 'time', 'tourist', 'patron', 'testimonial', 'art', 'elephants.,since', 'honour', 'architecture', 'destination', 'world', 'water', 'culture', 'minaret', 'arch']"
982,Hazara Rama Temple ,"['temple', 'wall', 'carving', 'premise', 'pillar', 'shrine', 'north', 'east', 'path', 'town', 'comparison', 'corner', 'lawn', 'mud', 'compound', 'others', 'sequence', 'heart', 'blanket']"
983,Hazarduari Palace ,"['palace', 'museum', 'door', 'attraction', 'room', 'meeting', 'site', 'ivory', 'style', 'daulla', 'collection', 'library', 'tourist', 'acre', 'armoury', 'area', 'painting', 'gallery', 'thousand', 'work']"
984,Hazrat Nizamuddin ,"['saint', 'tomb', 'site', 'tourist', 'devotee', 'dargah', 'traveller', 'area', 'death', 'disciple', 'poet', 'anniversary', 'festival', 'complex', 'west', 'number', 'visitor']"
985,Hazrat Shah Zahur Dargah ,"['month', 'attraction', 'site', 'miracle', 'festival', 'day']"
986,Hazratbal Mosque ,"['word', 'mosque', 'shrine', 'name', 'enclosure', 'marble', 'mountain', 'backdrop', 'style', 'fusion', 'bank', 'hair', 'architecture', 'relic']"
987,Hazrathbal Mosque ,"['devotee', 'district', 'country', 'architecture', 'mosque', 'relic']"
988,Hemakuta Hill Temple Complex ,"['top', 'temple', 'archway', 'structure', 'side', 'tourist', 'sunrise', 'construction', 'charges.,if', 'spot', 'part', 'fee', 'style', 'sunset', 'series', 'archeology', 'student', 'ad', 'courtyard.,a', 'stone']"
989,Hessing's Tomb ,"['tomb', 'platform', 'chamber', 'side', 'turret', 'memory', 'metre', 'fluting', 'lotus', 'finial', 'top', 'dome', 'terrace', 'style', 'inscription', 'officer', 'iwan', 'ascends', 'corner', 'kalash']"
990,Hill Palace Museum ,"['museum', 'park', 'palace', 'stone', 'collection', 'mural', 'highlight', 'heritage', 'coin', 'ornament', 'sculpture', 'training', 'office', 'crown', 'institute', 'public', 'manuscript', 'exhibit', 'house', 'area']"
991,Hindi Bhavan ,"['literature', 'language', 'tourist', 'library', 'society', 'story', 'class', 'growth', 'evolution', 'centre', 'understanding', 'student', 'book', 'importance', 'poem', 'work']"
992,Hindola Mahal ,"['wall', 'crossbar', 'reign', 'inhabitant', 'palace', 'side', 'exterior', 't', 'structure']"
993,Historical Ghanta Ghar ,"['villager', 'monument', 'medicine', 'money', 'haiza']"
994,Historical Museum And Research Centre ,"['museum', 'document', 'artefact', 'attraction', 'coin', 'site', 'bus', 'office', 'event', 'map', 'aim', 'tourist', 'research', 'state', 'manuscript', 'room', 'control', 'taxi', 'trusty', 'collection']"
995,Holkar Fort ,"['century', 'monument', 'architecture', 'fort', 'bank', 'visitor', 'residence', 'marvel', 'ruler', 'headquarters', 'queen', 'chhatris', 'period', 'addition', 'temple', 'son', 'seat', 'weaver', 'guesthouse', 'avatar']"
996,Holy Trinity Cathedral ,"['church', 'chapel']"
997,Hosdurg Fort ,"['distance', 'school', 'cave', 'bastion', 'office', 'proximity', 'government', 'dynasty']"
998,Hoshang's Tomb ,"['tomb', 'marble', 'dome', 'court', 'monument', 'template', 'latticework', 'tower']"
999,Humayun's Tomb ,"['complex', 'tomb', 'inr10', 'fee', 'structure', 'pool', 'wife', 'tourist', 'fountain', 'style', 'tree', 'admission', 'garden', 'architect', 'construction', 'sandstone', 'bench', 'foreigner', 'layout']"
1000,Husainabad Clock Tower ,"['tower', 'clock', 'lakh', 'style', 'bank', 'government', 'metre', 'foot', 'time', 'dial', 'bell', 'cost', 'din', 'arrival', 'design', 'year', 'gunmetal', 'length', 'pendulum', 'flower']"
1001,Hussain Shah Wali Dargah ,"['lake', 'belief', 'memory', 'respect', 'religion', 'shrine', 'city', 'water', 'people', 'year', 'market', 'part', 'need', 'saint', 'visit', 'attraction', 'tributary', 'mausoleum', 'destination', 'irrigation']"
1002,Huzoor Palace ,"['end', 'semi', 'structure', 'palace', 'water', 'balustrade', 'fountain', 'surroundings', 'style', 'garden', 'formation', 'architecture', 'timber', 'roof', 'pillar', 'zigzag', 'portico', 'terrace']"
1003,Ibrahim Rauza ,"['tomb', 'minaret', 'mosque', 'nave', 'base', 'column', 'petal', 'lotus', 'plaster', 'remains', 'parapet', 'platform', 'bracket', 'ornate', 'right', 'screen', 'corner', 'arch', 'cluster', 'side']"
1004,Ichchapuram ,"['carving', 'painting', 'fortification', 'pillar', 'palace', 'elevation', 'town']"
1005,Hari Mandir ,"['temple', 'land', 'significance', 'devotee', 'day', 'centre']"
1006,Idalcao ,"['palace', 'office', 'passport', 'chapel', 'bank', 'residence', 'building', 'today', 'colonial', 'room', 'structure', 'castle']"
1007,Idgah Maidan ,"['police', 'mass', 'corner', 'community', 'controversy', 'importance', 'city', 'ground', 'centre', 'prayer', 'people', 'period', 'part', 'harmony', 'violence', 'festival', 'firing', 'form']"
1008,Imambara ,"['month', 'completion', 'fire', 'lakh', 'cost']"
1009,Imambara Hassanabad ,"['shrine', 'graveyard', 'region', 'construction', 'follower', 'south', 'woman', 'west', 'skill', 'style', 'shape', 'people', 'octagon', 'city', 'entry', 'point']"
1010,INA Memorial ,"['memorial', 'soldier', 'freedom', 'army', 'flag', 'woman', 'rule', 'men', 'struggle', 'life', 'nation', 'fighter', 'headquarters', 'today', 'body', 'order']"
1011,Indian National Library ,"['book', 'library', 'collection', 'governor', 'm', 'preservation', 'area', 'jurisdiction', 'distribution', 'residence', 'sq', 'independence']"
1012,Indian Naval Maritime Museum ,"['museum', 'shipbuilding', 'operation', 'men', 'exhibit', 'service', 'city', 'detail', 'expertise', 'kilometre', 'liberation', 'devotion', 'history', 'navy', 'link', 'depict', 'light', 'island', 'moment', 'bus']"
1013,Indira Gandhi Rashtriya Manav Sangrahalaya ,"['exhibition', 'area', 'museum', 'building', 'gallery', 'air', 'life', 'dwelling', 'size', 'sq', 'site', 'village', 'habitat', 'reference', 'facility', 'stone', 'part', 'collection', 'replica', 'library']"
1014,Indira Glass House ,"['number', 'venue', 'meeting', 'exhibition', 'personality', 'glass', 'site', 'show', 'palace', 'delight', 'people', 'exercise', 'program', 'skating', 'part', 'similarity', 'lawn', 'structure', 'ground', 'hour']"
1015,Indo-Portuguese Museum ,"['museum', 'influence', 'motive', 'teak', 'heritage', 'section', 'area', 'piece', 'processional', 'attraction', 'altar', 'century', 'cross', 'collection', 'highlight', 'treasure', 'artwork']"
1016,Indore Museum ,"['museum', 'exhibit', 'artefact', 'gallery', 'carving', 'armour', 'century', 'tool', 'ornament', 'coin', 'collection', 'era', 'range', 'arm', 'quartz', 'period', 'sculpture', 'use', 'highlight', 'sickle']"
1017,Indra Bhawan ,"['structure', 'storey']"
1018,Indragarh Fort ,"['wall', 'fort', 'century', 'mahals', 'painting', 'valley', 'mountain', 'gate', 'complex', 'temple', 'km']"
1019,INS Khukri Memorial ,"['ship', 'memorial', 'crew', 'officer', 'mile', 'coast', 'sailor', 'captain', 'submarine', 'amphitheatre', 'site', 'torpedo', 'warship']"
1020,Institute Of Menezes Braganza ,"['work', 'tile', 'others', 'museum', 'entrance', 'hall', 'master', 'painting', 'district', 'city', 'oil', 'print', 'freedom', 'decoration', 'institute', 'collection', 'fighter', 'sculpture', 'hand', 'artist']"
1021,International Doll&#8217;s Museum ,"['doll', 'museum', 'section', 'cartoonist', 'dancer', 'display', 'theme', 'moon', 'world', 'man', 'country', 'building']"
1022,Iron Pillar ,"['pillar', '%', 'arm', 'm', 'premise', 'remembrance', 'year', 'century', 'flagpole', 'wish', 'people', 'location', 'centre', 'iron', 'back', 'mystery']"
1023,Irwin Agricultural Museum ,"['museum', 'attraction', 'office', 'idol', 'coin', 'type', 'bronze', 'collector', 'present', 'farming', 'collection', 'equipment', 'artefact', 'tourist', 'pottery', 'item', 'middle']"
1024,ISKCON Allahabad Sri Sri Radha Venimadhav Temple ,"['temple', 'visitor', 'year', 'tourist', 'go', 'dhava', 'idol', 'land', 'transport', 'couple', 'nagar', 'bank', 'part', 'cow', 'month', 'attraction', 'patch', 'morning', 'time', 'march.,other']"
